iter	Passed	Remaining
0	8	2435
1	17	2595
2	23	2317
3	31	2294
4	36	2160
5	42	2089
6	47	1990
7	53	1943
8	59	1935
9	65	1885
10	72	1897
11	77	1850
12	82	1813
13	91	1862
14	96	1833
15	103	1838
16	108	1811
17	115	1809
18	120	1783
19	126	1768
20	133	1775
21	139	1761
22	146	1770
23	153	1762
24	159	1752
25	165	1739
26	171	1732
27	179	1747
28	186	1738
29	194	1748
30	200	1737
31	207	1741
32	214	1732
33	220	1722
34	226	1715
35	232	1705
36	239	1704
37	245	1692
38	253	1695
39	259	1683
40	264	1672
41	271	1667
42	277	1658
43	286	1664
44	292	1655
45	300	1659
46	306	1652
47	315	1654
48	320	1644
49	328	1641
50	334	1631
51	340	1622
52	347	1619
53	353	1609
54	361	1610
55	367	1601
56	375	1601
57	383	1598
58	391	1598
59	397	1589
60	405	1590
61	412	1581
62	421	1586
63	428	1580
64	437	1581
65	444	1575
66	451	1569
67	459	1567
68	467	1563
69	473	1556
70	480	1548
71	488	1546
72	494	1537
73	500	1529
74	506	1519
75	513	1513
76	519	1504
77	526	1498
78	531	1487
79	537	1478
80	544	1473
81	550	1464
82	558	1460
83	564	1451
84	571	1446
85	577	1435
86	582	1425
87	591	1424
88	597	1417
89	605	1413
90	611	1404
91	620	1403
92	627	1397
93	636	1394
94	642	1386
95	650	1381
96	655	1370
97	661	1363
98	667	1354
99	672	1345
100	680	1340
101	686	1332
102	693	1325
103	701	1321
104	706	1312
105	713	1305
106	719	1297
107	726	1292
108	732	1283
109	739	1277
110	745	1269
111	751	1261
112	757	1254
113	763	1245
114	770	1239
115	777	1232
116	783	1226
117	791	1221
118	797	1213
119	803	1205
120	809	1197
121	817	1192
122	823	1184
123	830	1179
124	836	1170
125	841	1162
126	848	1155
127	852	1146
128	859	1139
129	865	1132
130	871	1124
131	879	1119
132	885	1111
133	892	1105
134	898	1097
135	905	1092
136	912	1085
137	917	1077
138	925	1072
139	932	1065
140	940	1060
141	946	1052
142	952	1045
143	958	1038
144	965	1031
145	971	1024
146	977	1017
147	986	1013
148	992	1005
149	999	999
150	1005	992
151	1013	986
152	1019	979
153	1026	973
154	1031	965
155	1037	957
156	1044	950
157	1049	943
158	1056	937
159	1063	930
160	1069	923
161	1075	916
162	1081	909
163	1090	904
164	1097	897
165	1106	892
166	1112	885
167	1119	879
168	1125	872
169	1133	866
170	1139	859
171	1144	851
172	1150	844
173	1156	837
174	1163	830
175	1168	823
176	1174	816
177	1200	822
178	1208	816
179	1215	810
180	1221	803
181	1228	796
182	1233	788
183	1239	781
184	1245	774
185	1251	767
186	1258	760
187	1263	752
188	1270	746
189	1276	739
190	1281	731
191	1289	725
192	1296	718
193	1303	711
194	1309	704
195	1315	698
196	1321	690
197	1327	683
198	1335	678
199	1341	670
200	1348	664
201	1354	657
202	1360	650
203	1365	642
204	1372	635
205	1379	629
206	1385	622
207	1393	616
208	1400	609
209	1408	603
210	1414	596
211	1420	589
212	1426	582
213	1432	575
214	1439	569
215	1445	562
216	1451	555
217	1457	548
218	1463	541
219	1469	534
220	1475	527
221	1483	521
222	1491	514
223	1498	508
224	1504	501
225	1510	494
226	1516	487
227	1522	480
228	1529	474
229	1535	467
230	1542	460
231	1548	453
232	1554	446
233	1561	440
234	1568	433
235	1576	427
236	1581	420
237	1587	413
238	1594	407
239	1600	400
240	1607	393
241	1612	386
242	1620	380
243	1626	373
244	1632	366
245	1638	359
246	1644	352
247	1651	346
248	1657	339
249	1665	333
250	1672	326
251	1679	319
252	1687	313
253	1694	306
254	1701	300
255	1707	293
256	1713	286
257	1719	279
258	1726	273
259	1732	266
260	1739	259
261	1745	253
262	1751	246
263	1757	239
264	1764	232
265	1771	226
266	1777	219
267	1783	212
268	1791	206
269	1798	199
270	1804	193
271	1810	186
272	1818	179
273	1824	173
274	1831	166
275	1837	159
276	1844	153
277	1849	146
278	1855	139
279	1862	133
280	1868	126
281	1876	119
282	1882	113
283	1888	106
284	1896	99
285	1901	93
286	1908	86
287	1915	79
288	1921	73
289	1927	66
290	1934	59
291	1940	53
292	1945	46
293	1952	39
294	1958	33
295	1965	26
296	1971	19
297	1977	13
298	1985	6
299	1992	0
